nepali_date,english_date,day,specialday,holiday,event
6/12/2072,9/29/2015,tue,FALSE,FALSE,no event
6/13/2072,9/30/2015,wed,FALSE,FALSE,no event
6/14/2072,10/1/2015,thu,FALSE,FALSE,no event
6/15/2072,10/2/2015,fri,FALSE,FALSE,no event
6/16/2072,10/3/2015,sat,FALSE,TRUE,no event
6/17/2072,10/4/2015,sun,FALSE,FALSE,no event
6/18/2072,10/5/2015,mon,FALSE,FALSE,no event
6/19/2072,10/6/2015,tue,FALSE,FALSE,no event
6/20/2072,10/7/2015,wed,FALSE,FALSE,no event
6/21/2072,10/8/2015,thu,FALSE,FALSE,no event
6/22/2072,10/9/2015,fri,FALSE,FALSE,no event
6/23/2072,10/10/2015,sat,FALSE,TRUE,no event
6/24/2072,10/11/2015,sun,FALSE,FALSE,no event
6/25/2072,10/12/2015,mon,FALSE,TRUE,no event
6/26/2072,10/13/2015,tue,FALSE,TRUE,dashain
6/27/2072,10/14/2015,wed,TRUE,FALSE,no event
6/28/2072,10/15/2015,thu,TRUE,FALSE,no event
6/29/2072,10/16/2015,fri,TRUE,FALSE,no event
6/30/2072,10/17/2015,sat,TRUE,TRUE,no event
7/1/2072,10/18/2015,sun,FALSE,FALSE,no event
7/2/2072,10/19/2015,mon,FALSE,FALSE,no event
7/3/2072,10/20/2015,tue,FALSE,TRUE,dashain
7/4/2072,10/21/2015,wed,FALSE,TRUE,dashain
7/5/2072,10/22/2015,thu,FALSE,TRUE,no event
7/6/2072,10/23/2015,fri,FALSE,TRUE,no event
7/7/2072,10/24/2015,sat,FALSE,TRUE,no event
7/8/2072,10/25/2015,sun,FALSE,FALSE,no event
7/9/2072,10/26/2015,mon,FALSE,TRUE,no event
7/10/2072,10/27/2015,tue,FALSE,FALSE,no event
7/11/2072,10/28/2015,wed,FALSE,FALSE,no event
7/12/2072,10/29/2015,thu,FALSE,FALSE,no event
7/13/2072,10/30/2015,fri,FALSE,FALSE,no event
7/14/2072,10/31/2015,sat,FALSE,TRUE,no event
7/15/2072,11/1/2015,sun,FALSE,FALSE,no event
7/16/2072,11/2/2015,mon,FALSE,FALSE,no event
7/17/2072,11/3/2015,tue,FALSE,FALSE,no event
7/18/2072,11/4/2015,wed,FALSE,FALSE,no event
7/19/2072,11/5/2015,thu,FALSE,FALSE,no event
7/20/2072,11/6/2015,fri,FALSE,FALSE,no event
7/21/2072,11/7/2015,sat,FALSE,TRUE,no event
7/23/2072,11/9/2015,mon,FALSE,FALSE,no event
7/24/2072,11/10/2015,tue,FALSE,FALSE,no event
7/25/2072,11/11/2015,wed,FALSE,TRUE,tihar
7/26/2072,11/12/2015,thu,FALSE,TRUE,tihar
7/27/2072,11/13/2015,fri,FALSE,TRUE,tihar
7/29/2072,11/15/2015,sun,FALSE,FALSE,no event
7/30/2072,11/16/2015,mon,FALSE,FALSE,no event
8/1/2072,11/17/2015,tue,FALSE,TRUE,chhat
8/2/2072,11/18/2015,wed,FALSE,FALSE,no event
8/3/2072,11/19/2015,thu,TRUE,FALSE,no event
8/4/2072,11/20/2015,fri,FALSE,FALSE,no event
8/5/2072,11/21/2015,sat,FALSE,TRUE,no event
8/6/2072,11/22/2015,sun,FALSE,FALSE,no event
8/7/2072,11/23/2015,mon,FALSE,FALSE,no event
8/8/2072,11/24/2015,tue,FALSE,FALSE,no event
8/9/2072,11/25/2015,wed,TRUE,FALSE,no event
8/10/2072,11/26/2015,thu,FALSE,FALSE,no event
8/11/2072,11/27/2015,fri,FALSE,FALSE,no event
8/12/2072,11/28/2015,sat,FALSE,TRUE,no event
8/13/2072,11/29/2015,sun,FALSE,FALSE,no event
8/14/2072,11/30/2015,mon,FALSE,FALSE,no event
8/15/2072,12/1/2015,tue,TRUE,FALSE,no event
8/16/2072,12/2/2015,wed,TRUE,FALSE,no event
8/17/2072,12/3/2015,thu,FALSE,FALSE,no event
8/18/2072,12/4/2015,fri,FALSE,FALSE,no event
8/19/2072,12/5/2015,sat,FALSE,TRUE,no event
8/20/2072,12/6/2015,sun,FALSE,FALSE,no event
8/21/2072,12/7/2015,mon,FALSE,FALSE,no event
8/22/2072,12/8/2015,tue,FALSE,FALSE,no event
8/23/2072,12/9/2015,wed,FALSE,FALSE,no event
8/24/2072,12/10/2015,thu,FALSE,FALSE,no event
8/25/2072,12/11/2015,fri,FALSE,FALSE,no event
8/26/2072,12/12/2015,sat,FALSE,TRUE,no event
8/27/2072,12/13/2015,sun,FALSE,FALSE,no event
8/28/2072,12/14/2015,mon,FALSE,FALSE,no event
8/29/2072,12/15/2015,tue,FALSE,FALSE,no event
9/1/2072,12/16/2015,wed,FALSE,FALSE,no event
9/2/2072,12/17/2015,thu,FALSE,FALSE,no event
9/3/2072,12/18/2015,fri,FALSE,FALSE,no event
9/4/2072,12/19/2015,sat,FALSE,TRUE,no event
9/5/2072,12/20/2015,sun,FALSE,FALSE,no event
9/6/2072,12/21/2015,mon,FALSE,FALSE,no event
9/7/2072,12/22/2015,tue,FALSE,FALSE,no event
9/8/2072,12/23/2015,wed,FALSE,FALSE,no event
9/9/2072,12/24/2015,thu,FALSE,FALSE,no event
9/10/2072,12/25/2015,fri,FALSE,TRUE,christmas
9/11/2072,12/26/2015,sat,FALSE,TRUE,no event
9/12/2072,12/27/2015,sun,FALSE,FALSE,no event
9/13/2072,12/28/2015,mon,FALSE,FALSE,no event
9/14/2072,12/29/2015,tue,FALSE,FALSE,no event
9/15/2072,12/30/2015,wed,FALSE,TRUE,no event
9/16/2072,12/31/2015,thu,FALSE,FALSE,no event
9/17/2072,1/1/2016,fri,FALSE,TRUE,english new year
9/18/2072,1/2/2016,sat,FALSE,TRUE,no event
9/19/2072,1/3/2016,sun,FALSE,FALSE,no event
9/20/2072,1/4/2016,mon,FALSE,FALSE,no event
9/21/2072,1/5/2016,tue,FALSE,FALSE,no event
9/22/2072,1/6/2016,wed,FALSE,FALSE,no event
9/23/2072,1/7/2016,thu,FALSE,FALSE,no event
9/24/2072,1/8/2016,fri,FALSE,FALSE,no event
9/25/2072,1/9/2016,sat,FALSE,TRUE,no event
